voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
1480,Tanker,2,3854,6,NEW PLYMOUTH,50.43634259,0.0001026658,0.9999893999999999,0.230200644,9.855200000000001e-05
1481,Tanker,2,3854,7,NEW PLYMOUTH,40.06736111,0.0001173532,0.9999705,0.2165776633333333,8.9155e-05
1485,Bulker,4,18849,5,NAPIER,55.78278935,0.0002132958,0.9999987499999999,0.460225275,0.00010371249999999998
1493,Container,0,52216,7,TAURANGA,38.36634259,0.000309759,0.9999981666666667,0.4036491816666667,0.000127505
1494,Container,0,52216,7,AUCKLAND,39.32577546,0.0003274121,0.9999941666666666,0.4277878933333333,0.000127505
1495,Container,0,52216,7,AUCKLAND,33.55944444,0.0003522718,0.9999941666666666,0.4610258583333333,0.000127505
1496,Container,0,52216,7,AUCKLAND,37.90033565,0.000298476,0.9999941666666666,0.3902867783333333,0.000127505
1497,Container,0,52216,7,AUCKLAND,26.33900463,0.000352126,1.0,0.4719944533333334,0.00012459166666666668
1498,Container,0,52216,7,AUCKLAND,25.08916667,0.0003566433,1.0,0.4780340916666666,0.00012459166666666668
1499,Container,0,52216,7,AUCKLAND,27.53106481,0.0003424964,1.0,0.45889925499999995,0.00012459166666666668
